代號,公司,資本額(億)
1101,台泥,546.56
1102,亞泥,336.14
1103,嘉泥,77.48
1104,環泥,65.36
1108,幸福,40.47
1109,信大,34.2
1110,東泥,57.2
1201,味全,50.61
1203,味王,24.0
1210,大成,82.73
1213,大飲,5.66
1215,卜蜂,26.8
1216,統一,568.2
1217,愛之味,49.45
1218,泰山,50.0
1219,福壽,32.2
1220,台榮,17.71
1225,福懋油,21.87
1227,佳格,91.51
1229,聯華,110.47
1231,聯華食,17.46
1232,大統益,16.0
1233,天仁,9.06
1234,黑松,40.19
1235,興泰,8.8
1236,宏亞,10.83
1240,茂生農經,3.4
1256,鮮活-KY,3.38
1258,其祥-KY,3.68
1259,安心,3.24
1264,德麥,3.37
1268,漢來美食,3.76
1301,台塑,636.57
1303,南亞,793.08
1304,台聚,118.88
1305,華夏,52.7
1307,三芳,39.78
1308,亞聚,55.44
1309,台達化,33.42
1310,台苯,52.79
1312,國喬,90.66
1313,聯成化,133.23
1314,中石化,283.49
1315,達新,19.8
1316,上曜,17.95
1319,東陽,59.15
1321,大洋,22.72
1323,永裕,9.13
1324,地球,7.51
1325,恆大,8.53
1326,台化,586.12
1333,恩得利,7.45
1336,台翰,8.51
1337,再生-KY,26.9
1338,廣華-KY,8.38
1339,昭輝,7.41
1340,勝悅-KY,15.29
1341,富林-KY,4.94
1402,遠東新,535.29
1409,新纖,161.84
1410,南染,7.2
1413,宏洲,10.21
1414,東和紡,22.0
1416,廣豐,18.53
1417,嘉裕,27.09
1418,東華,4.68
1419,新光紡,30.0
1423,利華,13.84
1432,大魯閣,16.79
1434,福懋興,168.47
1435,中福,13.98
1436,福益,9.56
1437,勤益,20.34
1438,裕豐,10.24
1439,中和,9.2
1440,南紡,165.68
1441,大東,10.08
1442,名軒,30.21
1443,立益,13.53
1444,力麗,95.73
1445,大宇,13.27
1446,宏和,13.77
1447,力鵬,91.45
1449,佳和,12.0
1451,年興,19.8
1452,宏益纖,13.26
1453,大將,9.86
1454,台富,13.43
1455,集盛,61.18
1456,怡華,9.37
1457,宜進實,30.16
1459,聯發,35.86
1460,宏遠興,50.98
1463,強盛,17.33
1464,得力,38.46
1465,偉全,10.36
1466,聚隆,11.12
1467,南緯,16.82
1468,昶和纖,16.04
1470,大統新創,8.58
1471,首利,14.54
1472,三洋紡,4.57
1473,台南,14.72
1474,弘裕,12.99
1475,本盟,1.6
1476,儒鴻,27.44
1477,聚陽,21.99
1503,士電,52.1
1504,東元,196.77
1506,正道,12.29
1507,永大,41.08
1512,瑞利,18.18
1513,中興電,42.0
1514,亞力,20.71
1515,力山,18.15
1516,川飛,3.34
1517,利奇,22.78
1519,華城,26.11
1521,大億,7.62
1522,堤維西,31.29
1524,耿鼎,17.97
1525,江申,7.34
1526,日馳,6.0
1527,鑽全,13.8
1528,恩德,19.93
1529,樂士,9.6
1530,亞崴,9.66
1531,高林股,18.5
1532,勤美,38.53
1533,車王電,9.85
1535,中宇,12.37
1536,和大,25.5
1537,廣隆,8.18
1538,正峰新,5.61
1539,巨庭,6.54
1540,喬福,8.55
1541,錩泰,7.88
1558,伸興,6.05
1560,中砂,14.1
1565,精華,5.04
1568,倉佑,10.31
1569,濱川,11.27
1570,力肯,5.15
1580,新麥,5.02
1582,信錦,12.37
1583,程泰,11.04
1584,精剛,8.25
1586,和勤,8.02
1587,吉茂,6.74
1589,永冠-KY,10.56
1590,亞德客-KY,18.9
1591,駿吉-KY,3.32
1592,英瑞-KY,11.1
1593,祺驊,3.19
1595,川寶,4.71
1597,直得,8.12
1598,岱宇,9.61
1599,宏佳騰,7.38
1604,聲寶,38.72
1605,華新麗華,332.6
1608,華榮,63.28
1609,大亞,59.51
1611,中電,39.84
1612,宏泰,31.61
1614,三洋電,26.91
1615,大山,11.19
1616,億泰,19.41
1617,榮星,14.42
1618,合機,24.09
1626,艾美特-KY,12.28
1701,中化,29.81
1702,南僑,29.41
1707,葡萄王,13.63
1708,東鹼,21.15
1709,和益,50.21
1710,東聯,88.57
1711,永光,54.78
1712,興農,42.05
1713,國化,15.1
1714,和桐,101.68
1717,長興,124.03
1718,中纖,162.14
1720,生達,17.87
1721,三晃,21.73
1722,台肥,98.0
1723,中碳,23.69
1724,台硝,12.78
1725,元禎,18.18
1726,永記,16.2
1727,中華化,11.03
1730,花仙子,6.32
1731,美吾華,13.29
1732,毛寶,4.24
1733,五鼎,10.0
1734,杏輝,16.77
1735,日勝化,9.94
1736,喬山,30.36
1737,台鹽,20.0
1742,台蠟,5.51
1752,南光,10.1
1760,寶齡,7.67
1762,中化合成,7.76
1773,勝一,15.0
1776,展宇,6.96
1777,生泰,3.01
1781,合世,4.74
1783,和康生,6.95
1784,訊聯,4.96
1785,光洋科,43.84
1786,科妍,5.81
1787,福盈科,6.79
1788,杏昌,3.6
1789,神隆,79.07
1795,美時化,24.31
1796,金穎生技,2.79
1799,易威,10.88
1802,台玻,290.81
1805,寶徠,8.03
1806,冠軍,43.38
1808,潤隆,30.83
1809,中釉,16.7
1810,和成,36.99
1813,寶利徠,4.66
1815,富喬,43.29
1817,凱撒衛,7.26
1902,台紙,40.2
1903,士紙,26.0
1904,正隆,110.83
1905,華紙,110.28
1906,寶隆,15.1
1907,永豐餘,166.04
1909,榮成,116.77
2002,中鋼,1573.49
2006,東和鋼,100.41
2007,燁興,53.07
2008,高興昌,20.09
2009,第一銅,35.96
2010,春源,64.77
2012,春雨,28.78
2013,中鋼構,20.0
2014,中鴻,143.55
2015,豐興鋼,58.16
2017,官田鋼,34.19
2020,美亞鋼,22.25
2022,聚亨,47.98
2023,燁輝,191.33
2024,志聯,9.75
2025,千興,28.12
2027,大成鋼,123.38
2028,威致,32.57
2029,盛餘,32.12
2030,彰源,28.65
2031,新光鋼,31.07
2032,新鋼,13.05
2033,佳大,8.07
2034,允強,40.71
2035,唐榮,35.0
2038,海光,18.13
2049,上銀科,30.96
2059,川湖,9.53
2061,風青,5.87
2062,橋椿,16.3
2063,世鎧,4.5
2064,晉椿,7.0
2065,世豐,3.27
2066,世德,3.65
2067,嘉鋼,4.51
2069,運錩,15.64
2070,精湛,3.68
2101,南港,83.39
2102,泰豐,47.33
2103,台橡,82.57
2104,中橡,98.47
2105,正新,324.14
2106,建大,87.44
2107,厚生,35.0
2108,南帝,49.24
2109,華豐,33.23
2114,鑫永銓,7.09
2115,六暉-KY,8.61
2201,裕隆,157.29
2204,中華,55.36
2206,三陽,85.36
2207,和泰車,54.62
2208,台船,47.3
2221,大甲,4.23
2227,裕日車,30.0
2228,劍麟,7.58
2230,泰茂,3.99
2231,為升,12.28
